STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
B3?('H%/_8NLZ_^BRORTC.,2017/18,BECSS01F,BEng Software Engineering FT,Level 4,11.41,Commuter,W1W 6XH,65,63,91
"B3?GQG7(SMK2%E""MVT>!>&",2016/17,BLLAW02F,LLB Law FT,Level 5,3.98,Other inc. Private Halls,W1B 2HW,53,48,94
"B3?GQG7(SMK2%E""MVT>!>&",2017/18,BLLAW02F,LLB Law FT,Level 6,3.98,Other inc. Private Halls,W1B 2HW,58,31,67
B3\F_L9N_(#DC)PS*W63#*,2016/17,BSPOC07F,BSc Real Estate FT,Level 5,9.94,Other inc. Private Halls,NW1 5LS,51,26,60
B3\F_L9N_(#DC)PS*W63#*,2017/18,BSPOC07F,BSc Real Estate FT,Level 6,9.94,Other inc. Private Halls,NW1 5LS,50,18,49
"B3]`4XB%?I-,@-_8#G<X()",2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 6,2.24,UoW Halls,HA1 3TP,63,25,90
"B03QZ$N,Z)<I28>'ZMQE=-",2016/17,BSBIS01F,BSc Business Information Systems FT,Level 5,9.82,Commuter,W1W 6XH,37,22,95
"B3R/3N/BFQ*?9""R5=$U>$-",2016/17,BSPOC04F,BSc Construction Management FT,Level 5,2.18,Other inc. Private Halls,NW1 5LS,48,35,51
"B3R/3N/BFQ*?9""R5=$U>$-",2017/18,BSPOC04F,BSc Construction Management FT,Level 6,2.18,Other inc. Private Halls,NW1 5LS,54,28,48
B3W/;`NVS)HJNH<-ATFI0$,2016/17,BSPOC07F,BSc Real Estate FT,Level 6,6.12,Other inc. Private Halls,NW1 5LS,67,31,61
"B3YS@5!N$%%J:X@BQ[I8#,",2016/17,BAFAS03F,BA Fashion Merchandise Management FT,Level 6,14.83,Unknown,HA1 3TP,59,1,65
"B3Z-A'#XV%9,SCCN95>C<!",2016/17,BABSM06F,BA Business Management FT,Level 4,,Unknown,NW1 5LS,69,73,86
"B3Z-A'#XV%9,SCCN95>C<!",2017/18,BABSM06F,BA Business Management FT,Level 5,1.71,Other inc. Private Halls,NW1 5LS,69,65,77
B4'UD()=N0BBW!N8*Q:ED-,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 6,9.77,Other inc. Private Halls,W1W 6XH,59,42,60
B4$*/`AA2MO_')U`*>T(>#,2016/17,BABSM06F,BA Business Management FT,Level 5,10.6,Unknown,NW1 5LS,51,34,74
B4$*/`AA2MO_')U`*>T(>#,2017/18,BABSM06F,BA Business Management FT,Level 6,10.6,Unknown,NW1 5LS,60,60,87
B4.<:1?;?_0B>'*>)SF.;.,2016/17,BAMUS01F,BA Commercial Music FT,Level 4,18.38,Commuter,HA1 3TP,61,35,52
B4.<:1?;?_0B>'*>)SF.;.,2017/18,BAMUS01F,BA Commercial Music FT,Level 5,18.38,Commuter,HA1 3TP,58,19,44
B04;-`W90#G>F3LU0W$DV',2017/18,BSCSS02F,BSc Computer Science FT,Level 4,13.99,Commuter,W1W 6XH,13,2,91
"B4?,4_5IN6[<LGV1J*=8X#",2016/17,BABSM07F,BA International Business FT,Level 5,9.25,Commuter,NW1 5LS,5,5,76
"B4`%P?,[:1ZR)6S5^3]H2,",2016/17,BABSM06F,BA Business Management FT,Level 6,2.01,Commuter,NW1 5LS,57,35,76
B4+-.R@T`VJ'0BPQK65Z]#,2017/18,BABSM06F,BA Business Management FT,Level 4,8.93,Commuter,NW1 5LS,56,58,73
"B4>[A#>SM3FDR^QM0(D4\""",2016/17,BAMRK03F,BA Marketing Management FT,Level 6,8.98,Unknown,NW1 5LS,63,40,88
"B4E`;JA4;51,!O<L#\'>8'",2016/17,BSPSY02F,BSc Psychology FT,Level 5,21.27,Unknown,W1W 6XH,59,51,76
"B4E`;JA4;51,!O<L#\'>8'",2017/18,BSPSY02F,BSc Psychology FT,Level 6,21.27,Unknown,W1W 6XH,64,41,55
B4F1VFNNCP*0K`I[Z51N-%,2016/17,BABSM06F,BA Business Management FT,Level 4,1.93,Other inc. Private Halls,NW1 5LS,51,38,87
"B4M?#T!<DG\5%5\""Z)30=/",2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 4,2.24,UoW Halls,HA1 3TP,44,10,65
B4P&XRDZ'ID1A>=].4]6$*,2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,12.91,Other inc. Private Halls,HA1 3TP,63,29,91
"B4TWOB,VH055Q;!9&MEC4&",2017/18,BAFAS02F,BA Fashion Design FT,Level 6,5.74,Other inc. Private Halls,HA1 3TP,76,0,152
B4W=R9I[DMU@.N+\#;[9^*,2016/17,BSBIO01F,BSc Biochemistry FT,Level 5,9.25,Commuter,W1W 6XH,71,46,58
B4W=R9I[DMU@.N+\#;[9^*,2017/18,BSBIO01F,BSc Biochemistry FT,Level 6,9.25,Commuter,W1W 6XH,73,38,70
B5-L'<G1R=G'EWR$&SOWB#,2016/17,BAENG03F,BA English Language and Linguistics FT,Level 4,6.66,UoW Halls,W1B 2HW,67,62,85
"B5(9'HR,PH62`S-X_>'EG.",2017/18,BLLAW02F,LLB Law FT,Level 4,11.58,Commuter,W1B 2HW,59,46,83
B5*^&B8+(U$5Z'NI:65WE$,2016/17,BAENG07F,BA English Literature FT,Level 5,9.48,Other inc. Private Halls,W1B 2HW,63,47,78
B5*^&B8+(U$5Z'NI:65WE$,2017/18,BAENG07F,BA English Literature FT,Level 6,9.48,Other inc. Private Halls,W1B 2HW,61,32,50
B5.T.AB+QO5Y;C-EH%I*'$,2016/17,BAJMC06F,BA Television Production FT,Level 4,,Unknown,HA1 3TP,68,37,84
B5/I?\03R?48I2&OV:T+S$,2016/17,BACRI01F,BA Criminology FT,Level 4,8.65,Commuter,W1B 2HW,52,21,65
B5/I?\03R?48I2&OV:T+S$,2017/18,BACRI01F,BA Criminology FT,Level 5,8.65,Commuter,W1B 2HW,47,11,60
B5:!\A>&ZI`5W=OJDZ;:$),2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,0.59,UoW Halls,HA1 3TP,60,38,91
"B5<%CK@508(V)O:PMCS9Q""",2017/18,BAARC03F,BA Designing Cities: Planning and Architecture FT,Level 5,9.83,Commuter,NW1 5LS,54,34,66
"B5B6=>K0W5*FH>7]EAY)H,",2016/17,BSBIS01F,BSc Business Information Systems FT,Level 5,5.98,Commuter,W1W 6XH,60,48,94
"B5B6=>K0W5*FH>7]EAY)H,",2017/18,BSBIS01F,BSc Business Information Systems FT,Level 6,5.98,Commuter,W1W 6XH,58,13,56
"B5CL#YQ=R,U:M5!G9^RBX*",2016/17,BAJMC02F,BA Journalism FT,Level 4,2.22,UoW Halls,HA1 3TP,59,62,81
"B5CL#YQ=R,U:M5!G9^RBX*",2017/18,BAJMC02F,BA Journalism FT,Level 5,8.8,Other inc. Private Halls,HA1 3TP,60,55,86
"B5HTB/]HO^1)ZU""D\1LDO(",2017/18,BEELE03F,BEng Electronic and Electrical Engineering FT,Level 4,1.08,Commuter,W1W 6XH,63,104,127
B5HX%&QZP?+(&^I_T6C9U),2016/17,BABSM06F,BA Business Management FT,Level 6,7.22,Unknown,NW1 5LS,57,35,75
"B5P/>R'<;12?__2S6R4B_,",2017/18,BSNUT01F,BSc Human Nutrition FT,Level 5,2.38,Commuter,W1W 6XH,59,52,80
"B5TX2ALZ4""WCS1N)8<.[N#",2016/17,BAARC02F,BA Interior Architecture FT,Level 6,0.19,Other inc. Private Halls,NW1 5LS,66,0,81
"B5V>]:4""V0C(/O;""W$A^5$",2016/17,BSCSS02F,BSc Computer Science FT,Level 4,6.95,Commuter,W1W 6XH,44,45,74
"B5V>]:4""V0C(/O;""W$A^5$",2017/18,BSCSS02F,BSc Computer Science FT,Level 5,6.95,Commuter,W1W 6XH,55,26,91
B5Y?^8**&>L?/4X3T-ZX_+,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,6.94,Commuter,W1W 6XH,62,66,81
B5Y?^8**&>L?/4X3T-ZX_+,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,6.94,Commuter,W1W 6XH,46,40,80
B6)T$1-SI0Y['MD*[^`?%/,2016/17,BSCSS02F,BSc Computer Science FT,Level 5,9.63,Unknown,W1W 6XH,55,32,85
B6)T$1-SI0Y['MD*[^`?%/,2017/18,BSCSS02F,BSc Computer Science FT,Level 6,9.63,Unknown,W1W 6XH,62,13,68
"B6[]5HV2`@DQ3)MKEKV<Y""",2016/17,BABSM06F,BA Business Management FT,Level 5,1.81,Other inc. Private Halls,NW1 5LS,52,53,88
"B6[]5HV2`@DQ3)MKEKV<Y""",2017/18,BABSM06F,BA Business Management FT,Level 6,1.81,Other inc. Private Halls,NW1 5LS,58,34,73
"B6AL7""RL(/R_0.X3:\CQD!",2016/17,BECON04F,BEng Computer Systems & Robotics FT,Level 6,6.56,UoW Halls,W1W 6XH,80,77,96
B6AQ?#14;B&EO[J!BTXP@.,2016/17,BATOE02F,BA Tourism Planning and Management FT,Level 4,3.67,Commuter,NW1 5LS,22,19,77
B6ATFN4MXM41]T]X1W[-N-,2016/17,BATFM01F,BA Film FT,Level 5,6.19,Other inc. Private Halls,HA1 3TP,69,20,95
B6ATFN4MXM41]T]X1W[-N-,2017/18,BATFM01F,BA Film FT,Level 6,0.53,Other inc. Private Halls,HA1 3TP,73,5,38
B6K-?MLT+2C6^@*B]3R9.*,2017/18,BAHRM01F,BA Human Resource Management FT,Level 4,4.41,Other inc. Private Halls,NW1 5LS,74,60,73
"B6KBXT6CDNST,0]A\X^/)+",2017/18,BLLAW02F,LLB Law FT,Level 5,23.41,Commuter,W1B 2HW,51,48,78
B6ML%D@7(T!J%QL'Y!]K&-,2017/18,BSARC01F,BSc Architecture and Environmental Design FT,Level 4,9.02,Other inc. Private Halls,NW1 5LS,40,66,119
B6NMB^8JS-XQT@]@F#OA^%,2016/17,BAENG03F,BA English Language and Linguistics FT,Level 4,8.07,Commuter,W1B 2HW,68,65,99
B6NMB^8JS-XQT@]@F#OA^%,2017/18,BAENG03F,BA English Language and Linguistics FT,Level 5,8.07,Commuter,W1B 2HW,61,57,71
B6QS7.34%#6E-FZHWSMLF/,2016/17,BAARC01F,BA Architecture FT,Level 4,3.04,Commuter,NW1 5LS,0,11,90
B6UY!%7M!>H2U6UO^S/KR/,2016/17,BABSM06F,BA Business Management FT,Level 4,1.34,Other inc. Private Halls,NW1 5LS,76,55,74
B6UY!%7M!>H2U6UO^S/KR/,2017/18,BSECO01F,BSc Business Economics FT,Level 4,1.34,Other inc. Private Halls,NW1 5LS,68,39,51
B7(<B4+R`U#TXC@*'.N^50,2016/17,BAMRK03F,BA Marketing Management FT,Level 5,11.79,Commuter,NW1 5LS,74,10,74
"B7;,8NTY4/;F%3J_;U=Y5*",2016/17,BSCON02F,BSc Computer Network Security FT,Level 4,15.52,Commuter,W1W 6XH,50,90,101
"B7;,8NTY4/;F%3J_;U=Y5*",2017/18,BSCON02F,BSc Computer Network Security FT,Level 5,15.52,Commuter,W1W 6XH,55,78,118
B7\74-Q-V/RF#HIIE`.L%(,2016/17,BAPHT01F,BA Contemporary Media Practice FT,Level 4,14.93,Other inc. Private Halls,HA1 3TP,60,43,83
B7\74-Q-V/RF#HIIE`.L%(,2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 5,14.93,Other inc. Private Halls,HA1 3TP,61,30,72
"B7`I+<D)&$KG5*,FSIB=-+",2016/17,BICSS01F,MEng Software Engineering FT,Level 5,3.18,Other inc. Private Halls,W1W 6XH,34,9,102
B7`WBZ30TOGH;RORWT%$M),2016/17,BABSM06F,BA Business Management FT,Level 5,2.85,Other inc. Private Halls,NW1 5LS,69,66,96
B7`WBZ30TOGH;RORWT%$M),2017/18,BABSM06F,BA Business Management FT,Level 6,2.85,Other inc. Private Halls,NW1 5LS,71,54,74
B7M@$)--;.)+TS77^V_J.&,2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 4,0.59,UoW Halls,HA1 3TP,74,87,108
B7M@$)--;.)+TS77^V_J.&,2017/18,BAADS04F,BA Fine Art Mixed Media FT,Level 5,0.82,Other inc. Private Halls,HA1 3TP,74,84,175
B7P&#5$#.8OL[P!F[S>MF!,2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 6,14.03,Commuter,HA1 3TP,63,2,53
B7YJK/_MBG]S$'4M*PZ'5%,2016/17,BAARC01F,BA Architecture FT,Level 4,4.76,Commuter,NW1 5LS,49,16,90
B7YJK/_MBG]S$'4M*PZ'5%,2017/18,BAARC01F,BA Architecture FT,Level 5,4.76,Commuter,NW1 5LS,59,8,77
"B8$/D_7,-?3BJ1/8\8PFI!",2016/17,BABSM06F,BA Business Management FT,Level 4,3.38,Other inc. Private Halls,NW1 5LS,69,69,85
B8*!22^7DS605E=)7-J-)0,2016/17,BAARC02F,BA Interior Architecture FT,Level 5,26.89,Unknown,NW1 5LS,67,25,72
B8*!22^7DS605E=)7-J-)0,2017/18,BAARC02F,BA Interior Architecture FT,Level 6,26.89,Unknown,NW1 5LS,71,21,71
"B8*GVOG""E(%[IA!@0[H@-0",2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 4,0.59,UoW Halls,HA1 3TP,62,41,72
"B8*GVOG""E(%[IA!@0[H@-0",2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 5,51.68,Unknown,HA1 3TP,62,27,60
"B8,NH,\1?JTM_:?*YC!6$.",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 4,7.88,Commuter,W1W 6XH,52,64,84
B8/I*0;WXVCK6])5/3&G-.,2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 4,0.59,UoW Halls,HA1 3TP,49,33,72
B8/X#C%+_8ZN\#D3XL-LC%,2017/18,BACRI01F,BA Criminology FT,Level 4,21.37,Unknown,W1B 2HW,60,40,70
"B8]MV5>]1?F@NUW_<*;@E,",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,6.06,Other inc. Private Halls,W1W 6XH,42,27,86
"B8_QB&%;+A,'/35W6=V_&&",2016/17,BABSM06F,BA Business Management FT,Level 6,3.67,Other inc. Private Halls,NW1 5LS,62,20,75
"B8=X.)E""C[,]\M9RSA^)S$",2016/17,BAFAS03F,BA Fashion Merchandise Management FT,Level 6,7.74,Commuter,HA1 3TP,63,8,65
"B8B8!C7""""1EQ@8B=9<5W%-",2016/17,BSCON02F,BSc Computer Network Security FT,Level 6,8.21,Unknown,W1W 6XH,54,20,103
"B8BJBL.F""XSW':<A`0J7/$",2016/17,BSPOC07F,BSc Real Estate FT,Level 5,1.76,Other inc. Private Halls,NW1 5LS,59,44,60
"B8BJBL.F""XSW':<A`0J7/$",2017/18,BSPOC07F,BSc Real Estate FT,Level 6,1.76,Other inc. Private Halls,NW1 5LS,72,34,49
B8DG8)$L%`54(&$\>6RL0+,2017/18,BALAW03F,BA Legal Studies FT,Level 6,5.13,Commuter,W1B 2HW,49,31,83
B8F+;H?*++?%317M4Z(#O&,2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 5,24.32,Unknown,HA1 3TP,54,15,63
B8F+;H?*++?%317M4Z(#O&,2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 6,24.32,Unknown,HA1 3TP,53,3,70
"B8H[<S]I""XE4[7IKL`(1O(",2017/18,BAMRK03F,BA Marketing Management FT,Level 6,2.09,Other inc. Private Halls,NW1 5LS,69,38,76
"B8IYOX%XQQ<-:2_F?JB""&+",2017/18,BAMRK02F,BA Marketing Communications FT,Level 4,6.21,Other inc. Private Halls,NW1 5LS,67,62,72
B8J!TFO@U^W+NGM*EMZV/.,2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,153.92,Unknown,HA1 3TP,69,38,91
"B8JU<4""6K<-?+,$S!]_#3.",2016/17,BSNUT01F,BSc Human Nutrition FT,Level 4,1.78,Other inc. Private Halls,W1W 6XH,67,80,98
"B8JU<4""6K<-?+,$S!]_#3.",2017/18,BSNUT01F,BSc Human Nutrition FT,Level 5,1.78,Other inc. Private Halls,W1W 6XH,73,47,80
B8QJ_HU&<=4(S1T`EWW1L',2017/18,BSMGM01F,BSc Computer Games Development FT,Level 4,0.97,Other inc. Private Halls,W1W 6XH,65,88,91
"B8S1W]`[9""VK^).&IY=&:.",2017/18,BABSM06F,BA Business Management FT,Level 4,8.6,Commuter,NW1 5LS,55,45,72
"B8V$/$]_""/5)!24E[J<4?.",2016/17,BSACC01F,BSc Accounting FT,Level 4,29.02,Unknown,NW1 5LS,84,67,98
"B8V$/$]_""/5)!24E[J<4?.",2017/18,BSACC01F,BSc Accounting FT,Level 5,4.36,Other inc. Private Halls,NW1 5LS,83,54,75
B8X=OB)_XUHT1%+1PGZX=#,2017/18,BABSM06F,BA Business Management FT,Level 4,4.43,Other inc. Private Halls,NW1 5LS,70,58,72
"B9&4F7EBDKN""Y)^QOC8X?!",2016/17,BAJMC01F,BA Digital Media and Communication FT,Level 4,7.38,Commuter,HA1 3TP,62,35,71
B9(/K)V2'&GKZFF*&+1_+$,2016/17,BATFM01F,BA Film FT,Level 6,5.56,Other inc. Private Halls,HA1 3TP,65,0,138
"B9*6_B0$I8O,<EC2.'ATF!",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,8.59,Commuter,W1W 6XH,54,13,82
"B9;+/DR6/5=_,BX3DX(L?+",2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 6,3.87,Other inc. Private Halls,W1B 2HW,59,34,64
B9\MY`V+>-15-R*@^^%=V%,2016/17,BABSM06F,BA Business Management FT,Level 5,8.08,Unknown,NW1 5LS,57,53,74
B9\MY`V+>-15-R*@^^%=V%,2017/18,BABSM06F,BA Business Management FT,Level 6,8.08,Unknown,NW1 5LS,62,40,71
B9`\K*61.WP?#1Q7E(-@?&,2016/17,BABSM06F,BA Business Management FT,Level 5,7.69,Other inc. Private Halls,NW1 5LS,49,45,87
B9`\K*61.WP?#1Q7E(-@?&,2017/18,BABSM06F,BA Business Management FT,Level 6,7.69,Other inc. Private Halls,NW1 5LS,63,33,73
B9C_V[KJ8+W_85%?:5A9O$,2016/17,BSELE01F,BSc Electronic Engineering FT,Level 5,5.55,Commuter,W1W 6XH,31,28,115
B9J_C?O.J.0A1FYVD98N[0,2016/17,BLLAW02F,LLB Law FT,Level 5,2.13,Other inc. Private Halls,W1B 2HW,51,48,95
B9J_C?O.J.0A1FYVD98N[0,2017/18,BLLAW02F,LLB Law FT,Level 6,2.13,Other inc. Private Halls,W1B 2HW,54,25,50
"B9M:K%W`&,*HJLPN2`/V(,",2017/18,BAPIR01F,BA International Relations and Development FT,Level 4,6.23,Commuter,W1B 2HW,60,51,55
"B9T\]WMT!U<S^-.373ELE""",2016/17,BAMRK01F,BA International Marketing FT,Level 4,3.18,Other inc. Private Halls,NW1 5LS,70,64,74
B9TGH@O5+Z?%W2Z!1PNP<',2016/17,BSACC01F,BSc Accounting FT,Level 6,7.85,Commuter,NW1 5LS,36,42,116
B9TUWGB!$ZG3*OR&374AF#,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,3.95,Other inc. Private Halls,W1W 6XH,49,46,89
B9TUWGB!$ZG3*OR&374AF#,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,3.95,Other inc. Private Halls,W1W 6XH,52,26,101
B12*<K^8E`3/RT7WFMS>+#,2016/17,BABSM06F,BA Business Management FT,Level 4,4.19,Commuter,NW1 5LS,49,42,88
B12*<K^8E`3/RT7WFMS>+#,2017/18,BABSM06F,BA Business Management FT,Level 5,4.19,Commuter,NW1 5LS,53,21,74
B19[<P*[$`9P3<48Y@)>1&,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,2.15,Commuter,W1W 6XH,49,46,81
B19[<P*[$`9P3<48Y@)>1&,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,2.15,Commuter,W1W 6XH,45,40,81
B22/N0QDCN3Z-YRC!4$EV+,2016/17,BAHIS01F,BA History and Politics FT,Level 4,3.48,Commuter,W1B 2HW,53,51,71
B22/N0QDCN3Z-YRC!4$EV+,2017/18,BAHIS01F,BA History and Politics FT,Level 5,3.48,Commuter,W1B 2HW,51,34,74
"B29FYIXDZ!P!8,'W)EF]^#",2016/17,BAPIR04F,BA Politics FT,Level 6,8.7,Commuter,W1B 2HW,63,24,51
"B35UD(T[@90R4CC>$.1:@,",2017/18,BACRI01F,BA Criminology FT,Level 4,9.02,Commuter,W1B 2HW,53,37,59
"B37U-E%=]P$;3*7^""3N2C#",2016/17,BAENG03F,BA English Language and Linguistics FT,Level 6,8.1,Other inc. Private Halls,W1B 2HW,65,37,62
"B41F>?OC$0[;4M);1$\_5""",2016/17,BABSM06F,BA Business Management FT,Level 4,4.22,Commuter,NW1 5LS,73,50,74
"B41F>?OC$0[;4M);1$\_5""",2017/18,BABSM06F,BA Business Management FT,Level 5,4.22,Commuter,NW1 5LS,69,48,77
B41P0R42?R#O*ORHID>AW%,2016/17,BABSM06F,BA Business Management FT,Level 6,2.29,Other inc. Private Halls,NW1 5LS,53,23,76
B53%0(S;4G_E-$!;.Y$6+!,2016/17,BABSM06F,BA Business Management FT,Level 5,8.25,Commuter,NW1 5LS,4,5,86
"B54U$""TI.78*ZXBI:Y+<9$",2017/18,BEELE03F,BEng Electronic and Electrical Engineering FT,Level 4,4.95,Other inc. Private Halls,W1W 6XH,98,94,125
B60X81#@@.SU^)7Q(:0WN(,2016/17,BABSM06F,BA Business Management FT,Level 4,2.67,Commuter,NW1 5LS,64,67,75
B60X81#@@.SU^)7Q(:0WN(,2017/18,BABSM06F,BA Business Management FT,Level 5,2.67,Commuter,NW1 5LS,66,68,76
B64WJED<7?F]+F^4&^[)9),2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 5,9.17,Other inc. Private Halls,W1W 6XH,57,35,80
B64WJED<7?F]+F^4&^[)9),2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 6,9.17,Other inc. Private Halls,W1W 6XH,57,23,75
B65CWSZ(XWUA36!#B!HTB!,2017/18,BSFIN01F,BSc Finance FT,Level 4,0.35,Other inc. Private Halls,NW1 5LS,41,30,74
B72?1`MZ6J'(2&54WO#KH/,2016/17,BSACC01F,BSc Accounting FT,Level 6,19.21,Unknown,NW1 5LS,55,7,115
B72GY^G?%6I!A7QT=4'U@(,2016/17,BABSM06F,BA Business Management FT,Level 4,0,UoW Halls,NW1 5LS,50,30,87
B72GY^G?%6I!A7QT=4'U@(,2017/18,BABSM06F,BA Business Management FT,Level 5,8.57,Commuter,NW1 5LS,17,6,77
"B75O2$%YVY5!MJ0V19B,8(",2017/18,BSBIO02F,BSc Biological Sciences FT,Level 4,5.88,Commuter,W1W 6XH,70,68,84
"B79)R_@""(N2*M7%>0<)$.-",2016/17,BSACC01F,BSc Accounting FT,Level 5,6.71,Commuter,NW1 5LS,65,38,84
"B80=D?""WR%^+B3-Y^-6BQ.",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 5,6.69,Other inc. Private Halls,HA1 3TP,65,33,70
"B88>,/RUG]J'I0FD';8YV&",2017/18,BAARC03F,BA Designing Cities: Planning and Architecture FT,Level 4,1.8,Other inc. Private Halls,NW1 5LS,62,29,82
B98O!BIYSWG!CEATV`5`.(,2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 6,2.13,Other inc. Private Halls,HA1 3TP,53,13,57
"B617SRQQ==S,*JA;WD+AB&",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,5.48,Commuter,W1W 6XH,68,74,88
"B617SRQQ==S,*JA;WD+AB&",2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 5,5.48,Commuter,W1W 6XH,71,64,71
B666H4F#^A$7]-P#1&6I`),2016/17,BABSM06F,BA Business Management FT,Level 6,6.07,UoW Halls,NW1 5LS,57,67,72
"B857'1RYK.=[)DT*CU]RC,",2017/18,BABSM06F,BA Business Management FT,Level 4,6.13,Other inc. Private Halls,NW1 5LS,61,39,73
B8656XS)GUKK>-I3;GY'`.,2016/17,BAARC02F,BA Interior Architecture FT,Level 5,2.32,Commuter,NW1 5LS,13,15,72
"BA&E*`<TRVN?,I*Y.]+E8+",2016/17,BABSM06F,BA Business Management FT,Level 4,,Unknown,NW1 5LS,75,66,75
BA?53.SHI8CL+#PUJ[T\S/,2017/18,BSCON03F,BSc Computer Systems Engineering FT,Level 4,3.65,Other inc. Private Halls,W1W 6XH,87,100,115
"BA@!H]7C4>K=C27?N.&EG,",2017/18,BSCON01F,BSc Computer Networks and Communications FT,Level 4,3.44,Commuter,W1W 6XH,36,52,100
BA7<+PKG3K'HC9&FUQO:?.,2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,5.42,Commuter,W1W 6XH,2,10,88
"BAE(]5GN]U+3-=]YA8V,`&",2016/17,BSPSY02F,BSc Psychology FT,Level 5,4.39,Commuter,W1W 6XH,61,45,71
"BAE(]5GN]U+3-=]YA8V,`&",2017/18,BSPSY02F,BSc Psychology FT,Level 6,6.12,Other inc. Private Halls,W1W 6XH,63,28,55
BAF*`2H@SANC3?SC[;%SF(,2016/17,BATFM01F,BA Film FT,Level 6,1.09,Other inc. Private Halls,HA1 3TP,66,8,138
"BAKWY$Q""0<),80YN<.$R@+",2017/18,BSCON02F,BSc Computer Network Security FT,Level 4,18.59,Other inc. Private Halls,W1W 6XH,,41,98
"BAL3WV8S,[(E'P:*.6:4#*",2016/17,BABSM06F,BA Business Management FT,Level 6,10.58,Commuter,NW1 5LS,58,48,89
"BAPD\=Z!J(&S3YS%Q^T$=,",2016/17,BABSM06F,BA Business Management FT,Level 4,4.29,Other inc. Private Halls,NW1 5LS,66,64,87
"BAPD\=Z!J(&S3YS%Q^T$=,",2017/18,BABSM06F,BA Business Management FT,Level 5,4.29,Other inc. Private Halls,NW1 5LS,65,58,76
"BAT_-[,L9C03$&""364)7O*",2016/17,BSCSS02F,BSc Computer Science FT,Level 5,11.01,Commuter,W1W 6XH,43,27,109
"BAT_-[,L9C03$&""364)7O*",2017/18,BSCSS02F,BSc Computer Science FT,Level 6,11.01,Commuter,W1W 6XH,8,10,79
"BAV>B1J!H1/_T=N9""+(8M-",2016/17,BSACC01F,BSc Accounting FT,Level 5,3.35,Other inc. Private Halls,NW1 5LS,74,62,85
"BAV>B1J!H1/_T=N9""+(8M-",2017/18,BSACC01F,BSc Accounting FT,Level 6,3.35,Other inc. Private Halls,NW1 5LS,82,59,76
"BAVU%&!;Q9:AX5@.I*'.`""",2017/18,BSPOC04F,BSc Construction Management FT,Level 4,6.57,Commuter,NW1 5LS,52,40,50
BB*%?RM^8+]-RU6L)0DX</,2017/18,BSCSS02F,BSc Computer Science FT,Level 5,3.27,Commuter,W1W 6XH,45,8,68
BB/]S^FWD%_^'71QUK)K!+,2017/18,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,66,54,84
BB`-E5('`R[$F991-IU]$%,2016/17,BASOC01F,BA Sociology FT,Level 4,3.53,Commuter,W1B 2HW,56,9,78
BB`-E5('`R[$F991-IU]$%,2017/18,BASOC01F,BA Sociology FT,Level 5,3.53,Commuter,W1B 2HW,57,9,72
"BB+[(=A7@`""D+""W9R5$3-+",2017/18,BALAN06F,BA Language and Other Disciplines FT,Level 6,27.94,Unknown,W1B 2HW,69,50,82
"BB=VS4TQN0$@R6X,98/8U""",2016/17,BAMUS01F,BA Commercial Music FT,Level 5,4.38,Other inc. Private Halls,HA1 3TP,71,16,62
